num_variables,num_initialized_vars,num_nonzero_initialized_vars,num_uint8,num_uint256,num_loops,num_payable_functions,num_mappings,num_arrays,gas_cost,optimization_level
40,5,0,0,25,1,0,0,0,0,0
304,28,1,4,85,41,3,6,0,0,0
185,21,0,0,80,24,1,4,0,0,0
82,2,0,0,43,0,2,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0
45,3,0,0,27,1,0,3,0,0,0
61,0,0,1,19,2,0,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
45,3,0,0,27,1,0,3,0,0,0
126,4,0,1,47,8,1,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
119,2,0,4,40,12,0,7,0,0,0
327,5,0,54,19,3,0,4,0,0,0
32,3,0,0,20,1,0,3,0,0,0
24,0,0,1,8,0,0,3,0,0,0
71,3,0,0,34,0,0,3,0,0,0
64,1,0,1,22,8,0,3,0,0,0
77,6,0,0,33,4,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
131,10,0,1,55,5,0,3,0,0,0
59,1,0,1,0,1,0,3,0,0,0
63,12,2,0,54,0,2,4,0,0,1
101,3,0,2,38,3,0,3,0,0,0
61,0,0,1,19,7,0,3,0,0,0
295,50,7,27,42,36,9,4,0,0,0
74,0,0,1,1,5,0,3,0,0,0
121,7,0,1,46,6,0,3,0,0,0
71,3,0,0,28,1,0,3,0,0,0
273,21,0,0,4,17,3,6,0,0,0
156,47,5,14,8,49,0,2,0,0,0
3,0,0,1,0,0,0,0,0,0,0
125,1,0,0,0,3,0,0,0,0,0
106,4,0,1,40,4,0,3,0,0,0
140,50,0,2,91,1,0,6,0,0,0
28,0,0,0,0,0,0,3,0,0,0
120,31,4,0,63,8,0,10,0,0,0
72,5,0,1,35,7,1,3,0,0,0
6,1,0,0,0,0,0,0,0,0,0
107,2,0,1,36,4,0,4,0,0,0
74,0,0,1,1,5,0,3,0,0,0
142,12,0,0,63,12,1,3,0,0,0
54,1,0,2,18,4,0,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
15,3,0,0,0,0,0,0,0,0,0
13,4,0,0,5,1,0,0,0,0,0
69,2,0,1,21,9,1,4,0,0,0
123,10,0,3,33,6,1,3,0,0,0
152,10,0,2,56,18,2,4,0,0,0
247,41,3,60,57,11,0,13,0,0,0
39,3,0,0,2,0,2,1,0,0,0
88,11,0,0,51,3,0,2,0,0,0
572,87,9,16,158,41,6,9,0,0,0
40,5,0,0,25,1,0,0,0,0,0
123,2,0,1,42,5,1,3,0,0,0
5,2,0,0,2,0,4,0,0,0,0
215,13,0,0,9,25,5,8,0,0,0
186,10,0,0,18,7,0,6,0,0,0
48,1,1,1,18,0,0,3,0,0,1
94,14,0,1,20,4,0,0,0,0,0
51,4,1,0,0,4,0,0,0,0,0
38,8,0,0,9,0,0,1,0,0,0
40,5,0,0,25,1,0,0,0,0,0
76,0,0,1,1,6,0,3,0,0,0
71,4,0,3,29,11,1,4,0,0,0
287,80,5,12,18,47,8,3,0,0,0
70,8,1,16,0,4,1,3,0,0,0
99,4,0,0,34,4,0,3,0,0,0
39,5,0,0,0,10,0,1,0,0,0
87,9,0,0,0,11,0,4,0,0,0
6,1,0,0,0,0,0,0,0,0,0
98,14,4,0,0,16,0,3,0,0,0
6,1,0,0,3,1,0,0,0,0,0
31,1,0,1,11,0,0,3,0,0,0
60,0,0,1,19,2,0,3,0,0,0
11,2,0,0,4,0,0,1,0,0,0
107,11,0,1,39,27,1,2,0,0,0
38,0,0,0,18,0,0,0,0,0,0
87,3,0,1,41,1,0,3,0,0,0
57,0,0,0,0,10,0,0,0,0,0
74,0,0,1,1,5,0,3,0,0,0
122,3,0,1,44,5,0,3,0,0,0
61,1,0,1,17,7,0,4,0,0,0
4,0,0,0,0,1,0,0,0,0,0
106,6,0,1,41,4,0,3,0,0,0
99,8,0,0,35,4,1,3,0,0,0
94,4,0,1,36,3,0,3,0,0,0
61,0,0,1,19,2,0,3,0,0,0
92,4,0,1,37,3,0,3,0,0,0
218,23,1,26,78,18,1,6,0,0,0
177,16,1,10,85,8,5,5,0,0,0
40,5,0,0,25,1,0,0,0,0,0
41,2,0,1,13,0,0,2,0,0,0
165,5,1,9,45,27,0,7,0,0,0
40,5,0,0,25,1,0,0,0,0,0
161,8,0,1,67,7,1,4,0,0,0
107,2,0,1,36,4,0,4,0,0,0
70,5,0,0,0,1,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
6,0,0,0,4,1,0,0,0,0,0
2,0,0,0,0,0,2,0,0,0,0
87,4,0,1,40,2,0,3,0,0,0
86,2,0,1,32,3,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0
51,6,0,2,1,5,0,0,0,0,0
40,5,0,0,25,1,0,0,0,0,0
93,4,0,1,38,3,0,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
124,7,0,1,39,4,0,3,0,0,0
131,5,0,1,49,3,0,3,0,0,0
51,1,0,3,19,7,1,4,0,0,0
27,1,0,0,15,1,0,0,0,0,0
99,6,0,0,36,4,1,3,0,0,0
38,3,0,0,1,0,2,2,0,0,0
92,4,0,0,35,3,0,3,0,0,0
56,1,0,2,20,5,0,3,0,0,0
308,69,8,13,17,33,7,6,0,0,0
43,0,0,1,15,5,0,3,0,0,0
81,3,0,1,29,0,1,3,0,0,0
167,11,1,2,3,34,7,4,0,0,0
393,69,1,0,306,49,6,12,0,0,0
64,1,0,1,22,6,0,3,0,0,0
120,10,1,0,53,3,0,3,0,0,1
0,0,0,0,0,0,0,0,0,0,0
40,5,0,0,25,1,0,0,0,0,0
17,0,0,0,2,0,0,0,0,0,0
141,4,0,1,38,4,0,3,0,0,0
52,1,0,1,15,6,0,3,0,0,0
398,80,1,0,326,28,3,12,0,0,0
74,0,0,1,1,5,0,3,0,0,0
61,6,0,0,37,2,0,3,0,0,0
207,28,0,0,119,32,2,6,0,0,0
40,5,0,0,25,1,0,0,0,0,0
53,3,0,1,30,5,0,4,0,0,0
85,4,0,3,32,1,0,3,0,0,0
72,4,0,0,36,1,0,3,0,0,0
31,0,0,2,10,4,1,2,0,0,0
71,3,0,0,31,1,1,3,0,0,0
63,0,0,1,21,8,0,3,0,0,0
4,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
139,34,5,0,79,15,0,10,0,0,0
40,5,0,0,15,1,1,2,0,0,0
173,23,0,1,91,28,2,2,0,0,0
157,3,0,1,50,7,0,4,0,0,0
55,1,1,1,18,5,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
136,6,0,0,56,8,1,3,0,0,0
42,0,0,0,14,0,2,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0
110,7,0,0,56,14,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
74,0,0,1,1,5,0,3,0,0,0
21,5,1,0,2,3,0,0,0,0,1
61,0,0,1,19,7,0,3,0,0,0
55,3,0,0,17,1,0,4,0,0,0
64,8,1,0,16,3,1,5,0,0,1
3,0,0,0,0,0,2,0,0,0,0
94,3,0,1,39,3,0,3,0,0,0
70,5,0,0,32,1,0,3,0,0,0
56,0,0,2,20,1,0,3,0,0,0
61,3,0,0,24,5,0,3,0,0,0
298,63,7,13,17,32,7,4,0,0,0
47,3,0,0,27,1,0,3,0,0,0
108,4,0,21,4,0,0,4,0,0,0
48,1,0,1,14,6,0,3,0,0,0
76,0,0,2,27,1,0,4,0,0,0
86,4,0,1,36,2,0,3,0,0,0
41,3,0,0,17,4,0,0,0,0,0
88,14,4,0,49,8,1,1,0,0,0
76,0,0,1,1,6,0,3,0,0,0
90,3,0,1,33,0,0,4,0,0,0
40,5,0,0,25,1,0,0,0,0,0
160,3,2,1,55,3,0,5,0,0,1
187,11,1,26,55,14,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
121,8,0,0,54,4,0,3,0,0,0
243,16,0,0,84,5,0,12,0,0,0
150,11,0,1,59,15,2,4,0,0,0
94,12,2,0,18,4,0,2,0,0,0
74,0,0,1,1,5,0,3,0,0,0
61,0,0,1,19,5,0,3,0,0,0
28,1,0,1,8,0,0,3,0,0,0
76,1,0,0,33,1,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
58,0,0,1,18,2,0,3,0,0,0
107,9,0,1,39,26,1,2,0,0,0
234,28,0,2,34,17,0,9,0,0,0
13,0,0,0,6,0,0,1,0,0,0
122,6,0,0,42,3,0,3,0,0,0
47,1,0,1,0,6,0,3,0,0,0
8,0,0,0,2,0,0,0,0,0,0
114,4,0,1,39,3,0,3,0,0,0
47,1,0,1,13,6,0,3,0,0,0
86,4,0,1,12,3,0,3,0,0,0
130,5,0,9,67,12,1,0,0,0,0
51,1,0,0,0,0,0,3,0,0,0
64,1,0,1,22,8,0,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
92,0,0,1,26,1,0,3,0,0,0
19,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0
43,2,0,1,11,2,0,0,0,0,0
106,10,0,0,0,13,0,4,0,0,0
88,3,0,0,6,4,0,3,0,0,0
205,17,0,22,55,9,1,6,0,0,0
107,10,0,1,45,5,2,6,0,0,0
142,11,2,1,68,6,0,4,0,0,0
76,0,0,1,1,6,0,3,0,0,0
38,2,0,0,2,2,0,1,0,0,0
133,7,0,0,6,5,0,3,0,0,0
176,8,0,0,9,14,3,6,0,0,0
76,4,0,1,34,1,0,3,0,0,0
112,2,0,1,37,4,0,3,0,0,0
459,42,1,4,51,42,4,6,0,0,0
14,2,0,0,1,0,0,1,0,0,0
54,3,0,2,0,2,0,4,0,0,0
149,19,0,60,47,11,3,3,0,0,0
145,10,0,2,46,5,0,6,0,0,0
61,0,0,1,19,7,0,3,0,0,0
119,13,0,1,51,4,1,4,0,0,0
64,4,0,0,26,1,2,6,0,0,0
61,0,0,1,19,7,0,3,0,0,0
364,72,8,12,0,82,6,12,0,0,0
32,3,0,2,10,0,0,2,0,0,0
70,13,1,0,42,5,1,3,0,0,0
337,7,0,14,27,23,0,24,0,0,0
0,0,0,0,0,0,0,0,0,0,0
74,3,0,0,13,9,0,0,0,0,0
61,0,0,1,19,7,0,3,0,0,0
10,0,0,1,5,1,0,3,0,0,0
61,0,0,1,19,7,0,3,0,0,0
259,49,8,30,1,24,8,2,0,0,0
61,0,0,1,19,7,0,3,0,0,0
32,0,0,0,13,3,0,3,0,0,0
58,0,0,1,18,2,0,3,0,0,0
315,22,0,11,16,24,2,9,0,0,0
100,10,0,0,3,11,0,4,0,0,0
96,4,0,1,37,5,0,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
101,6,0,0,39,3,0,3,0,0,0
114,10,0,0,0,12,0,6,0,0,0
83,6,0,1,0,0,0,5,0,0,0
72,17,0,3,55,2,1,11,0,0,0
83,7,0,0,40,1,0,4,0,0,0
52,1,0,1,15,6,0,3,0,0,0
76,6,0,1,17,3,0,3,0,0,0
204,21,0,0,64,7,0,3,0,0,0
35,2,0,0,9,0,4,0,0,0,0
5,0,0,0,3,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
51,1,0,0,0,0,0,3,0,0,0
29,1,0,1,9,1,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0
61,0,0,1,19,7,0,3,0,0,0
78,2,0,1,31,12,0,3,0,0,0
85,10,0,0,23,7,0,1,0,0,0
83,5,0,3,20,0,0,1,0,0,0
48,3,0,0,6,1,0,3,0,0,0
115,10,0,0,0,13,0,6,0,0,0
61,0,0,1,19,5,0,3,0,0,0
70,14,6,2,27,11,4,3,0,0,0
76,0,0,1,1,6,0,3,0,0,0
253,60,5,11,1,39,11,3,0,0,0
61,0,0,1,19,7,0,3,0,0,0
16,0,0,0,0,2,0,0,0,0,0
204,19,0,1,114,9,1,8,0,0,0
59,3,0,1,24,0,2,4,0,0,0
23,3,1,0,1,2,0,1,0,0,1
74,0,0,1,1,5,0,3,0,0,0
58,2,0,0,26,1,0,5,0,0,0
80,0,0,0,30,3,0,4,0,0,0
29,7,3,0,15,1,1,0,0,0,1
204,22,1,1,18,31,2,3,0,0,0
22,2,0,0,15,2,1,1,0,0,0
10,0,0,1,5,1,0,3,0,0,0
182,11,1,2,11,32,7,4,0,0,0
73,4,1,1,36,7,1,3,0,0,0
64,1,0,1,22,8,0,3,0,0,0
25,1,0,1,9,0,0,3,0,0,0
59,3,0,0,0,1,0,1,0,0,0
80,3,0,1,25,0,0,3,0,0,0
50,1,0,1,14,6,0,3,0,0,0
10,1,0,0,1,3,0,0,0,0,0
237,57,5,11,13,29,7,3,0,0,0
588,12,1,1,254,12,6,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
5,0,0,0,1,0,1,1,0,0,0
9,0,0,0,2,0,1,0,0,0,0
62,3,0,0,29,1,0,3,0,0,0
49,5,0,2,17,3,0,3,0,0,0
121,3,0,2,44,7,0,3,0,0,0
31,1,0,1,11,0,0,3,0,0,0
46,1,0,1,12,6,0,3,0,0,0
88,4,0,2,0,1,0,4,0,0,0
134,2,0,0,47,4,0,3,0,0,0
131,15,0,1,58,6,1,4,0,0,0
72,4,0,0,35,2,1,3,0,0,0
206,44,0,10,107,24,0,4,0,0,0
77,1,0,1,33,1,1,3,0,0,0
328,0,0,4,66,24,0,14,0,0,0
101,6,0,0,39,3,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
161,11,0,3,58,5,0,6,0,0,0
120,15,1,0,88,3,1,1,0,0,1
95,4,0,1,41,4,1,4,0,0,0
3,1,0,0,1,0,2,1,0,0,0
56,3,0,1,26,2,0,3,0,0,0
136,48,0,2,88,8,0,4,0,0,0
196,4,0,1,49,5,11,3,0,0,0
101,6,0,0,39,3,0,3,0,0,0
10,0,0,1,5,1,0,3,0,0,0
20,0,0,1,8,0,0,1,0,0,0
40,5,0,0,25,1,0,0,0,0,0
74,5,0,1,35,1,0,3,0,0,0
186,10,0,0,18,7,0,6,0,0,0
155,8,1,0,9,11,3,5,0,0,0
50,0,0,0,0,1,0,0,0,0,0
92,4,0,1,36,3,0,3,0,0,0
246,16,0,24,31,10,1,7,0,0,0
61,0,0,2,19,5,0,3,0,0,0
315,22,0,11,16,24,2,9,0,0,0
74,5,0,0,32,1,0,4,0,0,0
227,12,0,1,43,6,8,5,0,0,0
186,10,0,0,18,7,0,6,0,0,0
69,2,0,1,21,9,1,4,0,0,0
164,12,0,3,42,7,1,5,0,0,0
127,9,0,1,51,5,0,3,0,0,0
107,9,0,0,31,2,0,3,0,0,0
47,4,0,0,0,1,0,1,0,0,0
55,11,0,1,20,0,0,3,0,0,0
57,2,0,1,21,0,0,3,0,0,0
112,10,0,0,49,1,1,4,0,0,0
195,5,0,7,86,23,0,7,0,0,0
148,5,0,1,63,7,0,6,0,0,0
162,8,0,13,46,12,1,7,0,0,0
242,29,0,0,103,30,0,9,0,0,0
88,4,0,0,35,3,0,3,0,0,0
138,4,0,1,18,7,0,4,0,0,0
135,5,0,10,8,0,3,3,0,0,0
100,2,0,1,38,3,0,3,0,0,0
112,10,0,0,49,1,1,4,0,0,0
64,8,0,0,37,3,0,0,0,0,0
40,5,0,0,25,1,0,0,0,0,0
74,3,0,1,22,9,1,4,0,0,0
24,2,0,0,0,8,0,0,0,0,0
74,0,0,1,1,5,0,3,0,0,0
60,0,0,1,19,2,0,3,0,0,0
21,6,0,0,10,1,0,1,0,0,0
74,0,0,1,1,5,0,3,0,0,0
74,0,0,1,1,0,0,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
72,3,1,1,21,9,1,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0
40,5,0,0,25,1,0,0,0,0,0
74,3,0,0,13,9,0,0,0,0,0
81,5,0,0,35,3,0,3,0,0,0
86,6,0,1,38,1,0,3,0,0,0
88,5,0,1,40,1,0,6,0,0,0
109,17,3,0,12,2,2,3,0,0,1
0,0,0,0,0,0,0,0,0,0,0
63,3,0,1,26,4,0,3,0,0,0
2,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
98,3,0,0,38,11,0,4,0,0,0
63,0,0,2,20,7,0,3,0,0,0
71,4,0,1,33,1,0,3,0,0,0
38,1,0,1,14,0,0,3,0,0,0
1,0,0,0,0,1,0,0,0,0,0
51,1,0,1,13,2,0,3,0,0,0
85,13,0,0,34,10,1,4,0,0,0
53,0,0,2,14,7,0,3,0,0,0
52,8,1,3,0,10,3,5,0,0,0
12,0,0,0,0,0,0,0,0,0,0
155,5,0,1,53,1,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
40,5,0,0,25,1,0,0,0,0,0
132,5,0,3,44,15,0,3,0,0,0
127,6,1,3,33,1,0,5,0,0,1
75,0,0,1,22,3,0,3,0,0,0
315,22,0,11,16,24,2,9,0,0,0
36,1,0,1,12,0,0,3,0,0,0
120,8,0,0,66,2,2,6,0,0,0
52,4,0,0,32,0,1,3,0,0,0
64,1,0,1,22,2,0,3,0,0,0
92,4,0,0,36,3,0,3,0,0,0
52,1,0,1,18,2,0,2,0,0,0
179,14,0,1,40,9,0,8,0,0,0
79,0,0,1,1,5,0,3,0,0,0
186,10,0,0,18,7,0,6,0,0,0
315,22,0,11,16,24,2,9,0,0,0
204,28,10,2,20,28,1,7,0,0,0
173,11,0,17,49,14,1,7,0,0,0
0,0,0,0,0,0,0,0,0,0,0
364,34,0,0,89,22,1,7,0,0,0
139,0,0,0,5,3,0,5,0,0,0
60,0,0,1,19,2,0,3,0,0,0
18,0,0,0,0,0,2,1,0,0,0
40,5,0,0,25,1,0,0,0,0,0
209,37,5,0,108,31,1,13,0,0,0
40,5,0,0,25,1,0,0,0,0,0
125,13,0,0,37,7,0,4,0,0,0
119,11,0,0,15,1,0,4,0,0,0
29,10,0,12,0,10,0,2,0,0,0
24,6,1,0,0,1,0,0,0,0,1
52,8,1,3,0,10,3,5,0,0,0
456,13,1,4,261,10,0,10,0,0,0
55,1,1,1,18,5,0,3,0,0,0
124,15,0,1,51,6,1,4,0,0,0
70,0,0,0,23,2,0,3,0,0,0
305,52,7,27,49,39,8,5,0,0,0
84,1,0,2,31,5,0,4,0,0,0
15,3,0,0,0,0,0,0,0,0,0
168,15,3,1,58,17,1,5,0,0,0
104,0,0,2,29,14,3,4,0,0,0
2,0,0,0,0,0,1,0,0,0,0
208,11,0,2,46,12,0,6,0,0,0
74,3,0,1,2,6,0,3,0,0,0
126,8,0,0,47,7,1,3,0,0,0
75,1,0,1,1,5,0,3,0,0,0
44,3,0,0,9,1,3,0,0,0,0
74,0,0,1,1,5,0,3,0,0,0
40,5,0,0,25,1,0,0,0,0,0
31,4,0,0,22,0,1,0,0,0,0
105,5,0,1,45,1,0,4,0,0,0
57,4,1,1,18,1,3,4,0,0,1
48,1,0,1,14,6,0,3,0,0,0
64,14,3,0,55,2,3,4,0,0,1
51,4,1,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
77,0,0,1,21,4,0,3,0,0,0
888,86,1,3,31,45,1,39,0,0,0
84,3,0,2,37,6,0,3,0,0,0
152,52,0,3,96,13,0,6,0,0,0
133,16,0,0,37,6,0,4,0,0,0
68,2,0,3,13,0,0,3,0,0,0
1,0,0,0,0,0,0,0,0,0,0
54,4,0,4,15,7,0,4,0,0,0
61,0,0,1,19,7,0,3,0,0,0
69,1,0,0,34,1,0,0,0,0,0
40,5,0,0,25,1,0,0,0,0,0
47,4,0,0,0,1,0,1,0,0,0
48,1,0,1,14,6,0,3,0,0,0
28,1,0,1,8,0,0,3,0,0,0
76,0,0,1,1,6,0,3,0,0,0
108,5,0,1,39,6,0,4,0,0,0
47,1,0,1,13,6,0,3,0,0,0
132,16,0,0,37,7,0,4,0,0,0
38,1,0,1,14,0,0,3,0,0,0
497,47,0,4,19,115,3,6,0,0,0
164,13,0,1,50,10,2,3,0,0,0
52,0,0,0,20,0,0,3,0,0,0
74,0,0,1,1,5,0,3,0,0,0
82,5,0,1,22,0,0,3,0,0,0
104,21,7,2,51,5,0,4,0,0,0
24,0,0,1,8,0,0,3,0,0,0
57,1,0,0,0,3,0,0,0,0,0
75,10,0,1,21,4,0,1,0,0,0
153,5,0,2,50,4,0,3,0,0,0
47,1,0,1,13,6,0,3,0,0,0
32,3,0,0,20,4,1,0,0,0,0
55,1,1,1,18,5,0,3,0,0,0
117,11,1,0,45,2,1,3,0,0,1
127,2,0,1,38,6,0,3,0,0,0
64,1,0,1,22,8,0,3,0,0,0
120,10,0,3,32,6,1,3,0,0,0
40,1,1,1,16,0,1,3,0,0,1
98,9,0,0,0,11,0,4,0,0,0
62,7,0,1,22,1,1,0,0,0,0
235,21,0,3,108,4,2,2,0,0,0
91,5,0,0,45,5,1,3,0,0,0
121,21,0,4,0,9,0,6,0,0,0
61,0,0,1,19,2,0,3,0,0,0
10,2,0,0,0,1,0,0,0,0,0
41,3,0,1,21,4,0,1,0,0,0
